"TREE.ID","Species","Plot","CO2","N","ColID"
11003,"PITA",1,"amb","cont","O11003"
11004,"PITA",1,"amb","cont","O11004"
11011,"PITA",1,"amb","cont","O11011"
12007,"PITA",1,"amb","cont","O12007"
13034,"PITA",1,"amb","fert","O13034"
14006,"PITA",1,"amb","fert","O14006"
15033,"PITA",1,"amb","fert","O15033"
16015,"PITA",1,"amb","fert","O16015"
17030,"PITA",1,"amb","cont","O17030"
51009,"PITA",5,"amb","fert","O51009"
51048,"PITA",5,"amb","fert","O51048"
53004,"PITA",5,"amb","fert","O53004"
53008,"PITA",5,"amb","fert","O53008"
55010,"PITA",5,"amb","cont","O55010"
55012,"PITA",5,"amb","cont","O55012"
56021,"PITA",5,"amb","cont","O56021"
57010,"PITA",5,"amb","cont","O57010"
58013,"PITA",5,"amb","cont","O58013"
61007,"PITA",6,"amb","fert","O61007"
61011,"PITA",6,"amb","fert","O61011"
63005,"PITA",6,"amb","fert","O63005"
63007,"PITA",6,"amb","fert","O63007"
63047,"PITA",6,"amb","fert","O63047"
64010,"PITA",6,"amb","fert","O64010"
64043,"PITA",6,"amb","fert","O64043"
66007,"PITA",6,"amb","cont","O66007"
66042,"PITA",6,"amb","cont","O66042"
67004,"PITA",6,"amb","cont","O67004"
67007,"PITA",6,"amb","cont","O67007"
67038,"PITA",6,"amb","cont","O67038"
68006,"PITA",6,"amb","cont","O68006"
81018,"PITA",8,"amb","fert","O81018"
82012,"PITA",8,"amb","cont","O82012"
82013,"PITA",8,"amb","cont","O82013"
82016,"PITA",8,"amb","cont","O82016"
82017,"PITA",8,"amb","cont","O82017"
82018,"PITA",8,"amb","cont","O82018"
82019,"PITA",8,"amb","cont","O82019"
82020,"PITA",8,"amb","cont","O82020"
82021,"PITA",8,"amb","cont","O82021"
83001,"PITA",8,"amb","cont","O83001"
83002,"PITA",8,"amb","cont","O83002"
83005,"PITA",8,"amb","cont","O83005"
83007,"PITA",8,"amb","cont","O83007"
83008,"PITA",8,"amb","cont","O83008"
83011,"PITA",8,"amb","cont","O83011"
83022,"PITA",8,"amb","cont","O83022"
83023,"PITA",8,"amb","cont","O83023"
83024,"PITA",8,"amb","cont","O83024"
84016,"PITA",8,"amb","fert","O84016"
84017,"PITA",8,"amb","fert","O84017"
84020,"PITA",8,"amb","fert","O84020"
84021,"PITA",8,"amb","fert","O84021"
